company_name,establishment_name,state,naics_code,industry_description,size,employees,total_injuries,total_deaths,total_dafw_cases,total_djtr_cases,risk_score,normalized_risk,injury_rate,fatality_rate,severity_load,lost_time_index,industry_avg_risk,risk_z_score,risk_category
Glass House Brands,"MGF Management, LLC",CA,111422,Flower growing,21,4.0,4,0,0,1,5.62,1405.0,1000.0,0.0,1,12,8.83,-0.14,NORMAL RISK
Mini Pet Mart,Mini Pet Mart #19,OR,453910,"Feed stores, pet",1,4.0,2,0,1,1,5.62,1405.0,500.0,0.0,2,12,1.87,0.79,NORMAL RISK
United Cerebral Palsy of Georgia,United Cerebral Palsy of Georgia-Noonday,GA,624120,"Activity centers for disabled persons, the elderly, and persons diagnosed with intellectual and developmental disabilities",1,3.0,1,0,1,0,4.21,1403.33,333.33,0.0,1,121,5.72,-0.11,NORMAL RISK
Indiana Oxygen Company,Marion,IN,325120,Industrial gases manufacturing,1,7.0,3,0,2,1,9.82,1402.86,428.57,0.0,3,132,1.51,2.4,HIGH RISK OUTLIER
Woodland care center,Woodland care center,CA,623110,Skilled nursing facilities,2,7.0,6,0,1,0,9.8,1400.0,857.14,0.0,1,180,13.46,-0.21,NORMAL RISK
US Postal Service,COTTONWOOD_1359387,NM,491110,Mail and Parcel Delivery,1,2.0,1,0,0,1,2.79,1395.0,500.0,0.0,1,29,9.91,-0.47,NORMAL RISK
Leslie's Poolmart Inc,Store 0810,NV,453998,Swimming pool supply stores,1,3.0,2,0,1,0,4.18,1393.33,666.67,0.0,1,18,1.11,1.37,ABOVE AVERAGE RISK
"Opus Inspection, Inc.",35025 - Kent - Ohio E-Check,OH,811198,"Emissions testing without repair, automotive",1,5.0,2,0,2,0,6.96,1392.0,400.0,0.0,2,96,3.16,0.52,NORMAL RISK
"BEECAN HEALTH, LLC",LONG BEACH HEALTHCARE CENTER,CA,623110,Nursing homes,22,12.0,10,0,0,3,16.7,1391.67,833.33,0.0,3,220,13.46,0.19,NORMAL RISK
Leslie's Poolmart Inc,Store 0551,LA,453998,Swimming pool supply stores,1,3.0,1,0,1,0,4.17,1390.0,333.33,0.0,1,117,1.11,1.37,ABOVE AVERAGE RISK
Grady Management Inc.,Lee Overlook,VA,531110,Apartment rental or leasing,1,4.0,2,0,1,1,5.56,1390.0,500.0,0.0,2,6,2.34,0.4,NORMAL RISK
MAJCO LLC,2008,CO,441320,Tire Dealers,1,6.0,2,0,2,0,8.33,1388.33,333.33,0.0,2,233,3.36,1.08,ABOVE AVERAGE RISK
